po_id,po_date,supplier_id,material_id,scheduled_delivery_date,actual_delivery_date,currency,po_value,actual_cost
100026,2024-10-11,SUP-025,MAT-224,2024-11-14,2024-11-18,EUR,10674.87,11932.96
100027,2024-06-09,SUP-036,MAT-200,2024-06-20,2024-06-20,USD,7967.61,7602.57
100028,2025-02-15,SUP-006,MAT-227,2025-03-25,2025-03-29,USD,7241.14,6799.52
100029,2025-04-30,SUP-008,MAT-226,2025-06-05,2025-06-06,EUR,5108.85,5443.29
100030,2024-03-30,SUP-011,MAT-226,2024-05-01,2024-05-07,USD,13455.53,12614.54
100031,2024-07-20,SUP-010,MAT-239,2024-08-24,2024-08-25,USD,24893.15,25309.04
100032,2024-07-17,SUP-038,MAT-238,2024-08-29,2024-08-19,USD,15954.18,18237.85
100033,2024-08-26,SUP-022,MAT-216,2024-09-26,2024-10-04,EUR,14595.43,14778.01
100034,2024-01-11,SUP-012,MAT-220,2024-01-24,2024-01-26,USD,17602.59,18460.14
100035,2024-05-31,SUP-003,MAT-218,2024-06-21,2024-06-25,USD,7522.64,8656.82
100036,2024-09-27,SUP-034,MAT-226,2024-11-04,2024-10-29,USD,23689.97,22627.98
100037,2024-10-29,SUP-026,MAT-237,2024-11-26,2024-11-22,USD,21447.15,21661.45
100038,2025-02-23,SUP-015,MAT-221,2025-04-07,2025-04-10,USD,19622.25,20528.56
100039,2024-10-21,SUP-004,MAT-218,2024-11-21,2024-11-24,USD,3794.74,3754.44
100040,2024-01-24,SUP-040,MAT-220,2024-03-07,2024-03-12,USD,9796.44,10148.35
100041,2024-08-24,SUP-022,MAT-221,2024-09-28,2024-09-27,USD,20489.09,22517.04
100042,2024-08-26,SUP-016,MAT-201,2024-09-11,2024-09-13,USD,14436.27,16251.59
100043,2024-07-12,SUP-033,MAT-229,2024-08-03,2024-07-31,USD,17961.62,18323.92
100044,2024-06-03,SUP-019,MAT-234,2024-06-21,2024-06-17,USD,12367.57,13011.8
100045,2024-10-23,SUP-003,MAT-232,2024-11-26,2024-12-04,USD,9324.21,10005.25
100046,2024-09-11,SUP-018,MAT-232,2024-10-01,2024-10-02,USD,14340.66,15019.77
100047,2024-07-27,SUP-028,MAT-225,2024-08-03,2024-08-11,USD,12225.64,12049.09
100048,2025-06-23,SUP-003,MAT-215,2025-07-18,2025-07-22,USD,20443.11,19761.72
100049,2025-03-02,SUP-032,MAT-205,2025-03-26,2025-03-22,USD,23346.19,23182.25
100050,2024-03-17,SUP-033,MAT-224,2024-04-18,2024-04-13,USD,10057.73,10098.09
100051,2024-03-24,SUP-001,MAT-216,2024-05-01,2024-05-02,USD,5826.54,5955.85
100052,2024-05-31,SUP-018,MAT-222,2024-06-14,2024-06-13,USD,24290.4,28410.43
100053,2025-01-29,SUP-039,MAT-228,2025-02-08,2025-02-03,USD,22707.8,23673.44
100054,2024-04-23,SUP-033,MAT-234,2024-05-12,2024-05-16,USD,5397.1,5839.94
100055,2024-04-24,SUP-013,MAT-201,2024-05-09,2024-05-07,USD,13597.28,12854.14
100056,2025-06-28,SUP-039,MAT-208,2025-07-24,2025-07-29,USD,18542.93,17252.29
100057,2025-05-24,SUP-022,MAT-222,2025-06-12,2025-06-13,USD,18015.69,22373.81
100058,2025-01-18,SUP-010,MAT-200,2025-02-26,2025-02-16,USD,3062.41,3247.89
100059,2024-07-29,SUP-040,MAT-200,2024-08-26,2024-09-06,EUR,15795.17,14658.04
100060,2024-12-17,SUP-034,MAT-240,2025-01-12,2025-01-12,EUR,4862.63,5232.02
100061,2024-06-26,SUP-040,MAT-237,2024-07-03,2024-06-25,USD,10337.38,11847.04
100062,2024-01-09,SUP-038,MAT-229,2024-01-27,2024-01-26,USD,19878.1,19700.21
100063,2025-05-07,SUP-020,MAT-205,2025-06-19,2025-06-19,USD,8875.11,9581.75
100064,2025-06-25,SUP-026,MAT-220,2025-07-13,2025-07-17,USD,19414.47,18998.35
100065,2024-01-26,SUP-028,MAT-238,2024-03-02,2024-03-04,USD,3207.45,3448.35
100066,2024-11-07,SUP-006,MAT-227,2024-12-16,2024-12-15,USD,15188.83,12770.43
100067,2025-06-18,SUP-040,MAT-235,2025-07-31,2025-08-01,USD,13216.62,14268.32
100068,2025-03-23,SUP-008,MAT-233,2025-04-18,2025-04-18,USD,2638.81,2610.74
100069,2025-05-22,SUP-014,MAT-203,2025-06-27,2025-06-28,USD,16477.4,15916.08
100070,2025-03-13,SUP-013,MAT-225,2025-04-20,2025-04-23,EUR,3802.21,3669.71
100071,2024-12-29,SUP-004,MAT-219,2025-01-27,2025-01-27,USD,18632.14,17278.81
100072,2024-10-05,SUP-022,MAT-229,2024-11-15,2024-11-17,USD,8090.71,8196.95
100073,2024-11-07,SUP-035,MAT-210,2024-11-15,2024-11-18,EUR,22692.42,23237.08
100074,2024-01-11,SUP-012,MAT-230,2024-01-25,2024-01-25,USD,19726.11,18711.19
100075,2024-10-13,SUP-001,MAT-240,2024-11-20,2024-11-27,EUR,3585.06,3656.87
100076,2024-01-18,SUP-038,MAT-203,2024-02-29,2024-03-01,USD,21580.74,23406.11
100077,2024-02-15,SUP-034,MAT-203,2024-02-25,2024-02-29,EUR,16182.84,16852.6
100078,2025-03-31,SUP-007,MAT-228,2025-04-08,2025-04-11,USD,22475.48,26659.75
100079,2024-02-19,SUP-037,MAT-237,2024-03-08,2024-02-28,USD,6981.69,7402.87
100080,2024-11-05,SUP-037,MAT-200,2024-12-09,2024-12-05,USD,24834.45,25247.68
100081,2025-01-12,SUP-010,MAT-208,2025-02-18,2025-02-16,USD,13517.74,13250.51
100082,2024-01-13,SUP-036,MAT-211,2024-01-20,2024-01-22,USD,21118.36,20336.83
100083,2025-06-08,SUP-029,MAT-217,2025-07-06,2025-07-11,USD,22977.36,26537.45
100084,2024-08-14,SUP-016,MAT-207,2024-08-23,2024-08-22,USD,13619.38,12571.99
100085,2024-10-06,SUP-033,MAT-208,2024-11-13,2024-11-12,USD,4463.97,4510.15
100086,2025-05-31,SUP-035,MAT-206,2025-06-15,2025-06-19,USD,9048.92,9725.67
100087,2024-01-01,SUP-018,MAT-221,2024-02-07,2024-02-03,USD,22575.19,21681.86
100088,2024-03-09,SUP-014,MAT-200,2024-03-30,2024-04-04,EUR,2805.36,2875.78
100089,2025-03-29,SUP-026,MAT-232,2025-04-10,2025-04-17,USD,8233.74,8037.71
100090,2024-06-19,SUP-034,MAT-228,2024-07-25,2024-07-27,USD,5543.21,5455.32
100091,2025-03-30,SUP-011,MAT-202,2025-05-04,2025-05-01,USD,12955.1,12901.47
100092,2025-05-23,SUP-018,MAT-215,2025-07-06,2025-07-07,USD,24799.04,24113.77
100093,2024-07-03,SUP-007,MAT-225,2024-07-26,2024-08-06,EUR,16593.39,19609.53
100094,2024-01-02,SUP-018,MAT-215,2024-01-21,2024-01-20,USD,4383.39,4402.3
100095,2025-01-06,SUP-001,MAT-234,2025-01-30,2025-02-03,EUR,9761.3,9785.8
100096,2025-03-11,SUP-019,MAT-205,2025-04-04,2025-04-03,USD,23118.55,23928.43
100097,2024-03-18,SUP-024,MAT-237,2024-04-13,2024-04-07,USD,2462.85,2655.76
100098,2024-05-18,SUP-020,MAT-206,2024-06-07,2024-06-07,USD,20782.98,19076.36
100099,2024-03-30,SUP-005,MAT-235,2024-05-08,2024-05-11,USD,12939.45,13988.04
100100,2024-11-25,SUP-033,MAT-212,2024-12-15,2024-12-17,USD,8888.04,9654.69
100101,2025-01-24,SUP-033,MAT-225,2025-02-20,2025-02-22,USD,19396.78,19890.59
100102,2024-01-19,SUP-006,MAT-226,2024-02-07,2024-02-07,USD,5773.55,5723.25
100103,2024-10-05,SUP-021,MAT-208,2024-10-31,2024-11-01,USD,7064.84,7854.05
100104,2025-02-02,SUP-039,MAT-208,2025-02-12,2025-02-09,USD,5757.81,5592.25
100105,2024-11-18,SUP-032,MAT-222,2024-12-04,2024-12-12,USD,21814.99,21361.17
100106,2025-06-23,SUP-023,MAT-234,2025-07-22,2025-07-25,USD,8994.32,10414.69
100107,2024-10-13,SUP-010,MAT-234,2024-11-23,2024-11-23,USD,22707.46,19943.64
100108,2025-05-24,SUP-035,MAT-240,2025-06-18,2025-06-21,USD,19925.2,19394.17
100109,2025-05-29,SUP-004,MAT-237,2025-06-08,2025-06-05,USD,12024.19,11723.34
100110,2024-04-07,SUP-040,MAT-235,2024-05-09,2024-05-11,USD,18141.46,16713.98
100111,2025-03-07,SUP-024,MAT-227,2025-03-24,2025-03-23,USD,18714.32,16430.5
100112,2024-12-06,SUP-040,MAT-231,2025-01-15,2025-01-17,USD,20139.22,23392.11
100113,2025-05-06,SUP-037,MAT-211,2025-06-17,2025-06-17,EUR,2305.99,2324.11
100114,2024-05-15,SUP-031,MAT-200,2024-06-22,2024-06-22,EUR,15296.18,13198.28
100115,2024-06-08,SUP-017,MAT-225,2024-06-16,2024-06-22,USD,4436.15,4987.76
100116,2024-08-11,SUP-009,MAT-240,2024-09-05,2024-09-08,USD,17435.83,18337.77
100117,2025-06-19,SUP-027,MAT-204,2025-07-19,2025-07-15,USD,9866.79,10401.12
100118,2025-06-30,SUP-029,MAT-203,2025-08-09,2025-08-07,USD,23219.26,24899.07
100119,2025-03-23,SUP-021,MAT-212,2025-04-04,2025-04-10,EUR,21133.09,22653.31
100120,2024-01-28,SUP-035,MAT-219,2024-02-12,2024-02-11,USD,8503.43,8825.66
100121,2024-02-24,SUP-026,MAT-236,2024-03-18,2024-03-10,USD,14645.23,14327.57
100122,2025-01-05,SUP-002,MAT-230,2025-02-12,2025-02-16,EUR,15720.98,16037.57
100123,2024-02-17,SUP-032,MAT-216,2024-03-29,2024-03-29,USD,5191.89,5379.89
100124,2025-06-14,SUP-009,MAT-212,2025-07-01,2025-07-04,USD,9084.38,8911.04
100125,2024-04-14,SUP-003,MAT-223,2024-04-25,2024-04-27,USD,10449.2,10653.92
100126,2025-05-30,SUP-037,MAT-212,2025-07-04,2025-07-06,EUR,14441.68,14685.03
100127,2024-07-02,SUP-030,MAT-206,2024-07-31,,USD,6958.16,7096.16
100128,2024-05-22,SUP-023,MAT-203,2024-06-29,2024-06-28,USD,9212.09,9467.95
100129,2024-04-30,SUP-036,MAT-232,2024-05-19,2024-05-24,USD,6428.18,6616.64
100130,2025-02-25,SUP-038,MAT-205,2025-03-22,2025-03-29,USD,4680.65,4783.78
100131,2024-01-29,SUP-032,MAT-217,2024-02-21,2024-02-21,EUR,7445.63,7419.31
100132,2024-11-19,SUP-016,MAT-221,2025-01-02,2025-01-05,USD,19422.49,18446.71
100133,2024-08-31,SUP-038,MAT-216,2024-09-30,2024-10-02,USD,9438.75,10746.47
100134,2024-10-25,SUP-037,MAT-203,2024-12-05,2024-12-12,USD,24555.8,25431.12
100135,2024-05-23,SUP-016,MAT-219,2024-06-30,2024-06-29,USD,17852.25,18242.27
100136,2024-02-03,SUP-011,MAT-224,2024-02-12,2024-02-11,USD,14702.16,14536.68
100137,2024-09-10,SUP-019,MAT-209,2024-10-20,2024-10-24,USD,10096.88,8376.85
100138,2024-06-21,SUP-037,MAT-200,2024-07-09,2024-07-02,USD,17464.4,18782.4
100139,2025-03-04,SUP-030,MAT-219,2025-04-03,2025-04-02,USD,13572.06,12113.89
100140,2024-07-03,SUP-017,MAT-204,2024-08-12,2024-08-17,USD,7264.46,6228.71
100141,2024-06-25,SUP-008,MAT-228,2024-07-19,2024-07-24,USD,14644.46,14746.31
100142,2024-07-28,SUP-038,MAT-231,2024-08-18,2024-08-24,USD,14511.57,14398.66
100143,2024-01-23,SUP-009,MAT-236,2024-02-05,2024-02-06,USD,17541.35,17246.08
100144,2024-09-30,SUP-018,MAT-217,2024-11-09,2024-11-08,EUR,11785.13,12144.39
100145,2025-04-01,SUP-018,MAT-208,2025-05-08,2025-05-11,USD,11903.07,12470.62
100146,2024-10-04,SUP-018,MAT-240,2024-10-17,2024-10-20,USD,4980.8,4739.96
100147,2024-09-25,SUP-022,MAT-227,2024-10-12,2024-10-09,USD,5543.99,6045.21
100148,2024-09-27,SUP-034,MAT-225,2024-10-19,2024-10-14,USD,2500.93,2771.11
100149,2024-05-13,SUP-029,MAT-215,2024-05-28,2024-05-25,USD,22702.0,24126.68
100150,2024-02-29,SUP-038,MAT-236,2024-03-17,2024-03-18,EUR,11703.5,10871.11
100151,2025-05-22,SUP-013,MAT-219,2025-06-25,2025-07-01,USD,16578.19,16860.5
100152,2025-03-04,SUP-015,MAT-235,2025-04-14,2025-04-15,USD,23471.76,22199.02
100153,2025-02-06,SUP-020,MAT-233,2025-03-02,2025-03-04,USD,9481.69,8717.89
100154,2024-02-01,SUP-005,MAT-234,2024-03-06,2024-03-15,USD,11871.91,12680.87
100155,2024-08-18,SUP-013,MAT-215,2024-08-29,2024-09-02,USD,19850.85,20994.38
100156,2024-01-01,SUP-031,MAT-232,2024-01-14,2024-01-08,EUR,2061.75,2069.65
100157,2024-07-08,SUP-014,MAT-234,2024-08-08,2024-08-08,USD,7848.1,7253.5
100158,2024-02-23,SUP-031,MAT-225,2024-03-26,2024-04-01,EUR,18648.86,16958.83
100159,2024-02-08,SUP-002,MAT-207,2024-02-28,2024-03-02,EUR,21276.08,23141.22
100160,2024-09-11,SUP-039,MAT-210,2024-10-13,2024-10-11,USD,12707.98,13345.4
100161,2024-06-05,SUP-033,MAT-204,2024-06-15,2024-06-14,USD,23833.37,26111.49
100162,2025-06-17,SUP-018,MAT-213,2025-06-24,2025-06-30,USD,22249.16,22387.22
100163,2025-01-26,SUP-027,MAT-202,2025-03-11,2025-03-07,EUR,18195.82,20450.31
100164,2024-07-13,SUP-019,MAT-206,2024-08-13,2024-08-17,USD,9047.8,9492.67
100165,2024-02-11,SUP-025,MAT-225,2024-03-04,2024-03-08,USD,21211.0,20701.55
100166,2024-12-19,SUP-017,MAT-235,2025-01-08,2025-01-12,EUR,6183.15,5837.82
100167,2024-07-24,SUP-019,MAT-203,2024-07-31,2024-07-28,EUR,21258.73,22661.06
100168,2024-07-25,SUP-019,MAT-204,2024-09-02,2024-09-06,EUR,20558.61,21580.02
100169,2024-11-19,SUP-027,MAT-218,2024-12-23,2024-12-22,USD,24601.91,23308.56
100170,2024-08-10,SUP-022,MAT-223,2024-08-19,2024-08-18,USD,15932.59,16603.17
100171,2025-02-08,SUP-010,MAT-210,2025-03-02,2025-03-06,USD,2021.61,2098.75
100172,2025-04-25,SUP-008,MAT-239,2025-05-12,2025-05-09,USD,17636.48,18021.07
100173,2025-02-10,SUP-017,MAT-214,2025-03-17,2025-03-27,USD,24761.96,28164.76
100174,2025-06-21,SUP-011,MAT-203,2025-07-20,2025-07-21,USD,5972.86,5817.7
100175,2024-06-09,SUP-003,MAT-203,2024-07-04,2024-07-09,USD,21203.25,22459.72
100176,2024-06-16,SUP-017,MAT-224,2024-06-29,2024-06-28,USD,8012.52,8403.48
100177,2024-06-29,SUP-002,MAT-231,2024-07-29,2024-08-02,USD,4692.8,4789.75
100178,2024-04-13,SUP-011,MAT-202,2024-04-27,2024-05-02,USD,15585.57,14018.88
100179,2024-03-27,SUP-001,MAT-235,2024-04-18,2024-04-28,USD,5328.97,5455.84
100180,2024-04-13,SUP-010,MAT-239,2024-05-13,2024-05-12,USD,12588.86,12046.72
100181,2025-02-02,SUP-018,MAT-225,2025-03-06,2025-03-10,USD,4712.9,4307.55
100182,2024-10-03,SUP-037,MAT-218,2024-10-28,2024-11-04,EUR,18640.25,20154.06
100183,2024-05-25,SUP-039,MAT-234,2024-06-06,2024-06-08,USD,3563.85,3149.75
100184,2024-12-24,SUP-026,MAT-213,2025-01-13,2025-01-12,USD,18987.67,17233.26
100185,2024-09-19,SUP-005,MAT-229,2024-10-15,2024-10-14,USD,13852.29,14185.18
100186,2024-01-05,SUP-008,MAT-231,2024-02-07,2024-02-10,USD,23148.59,25683.27
100187,2025-05-07,SUP-028,MAT-229,2025-05-24,2025-05-24,USD,11931.32,11829.45
100188,2024-07-24,SUP-027,MAT-211,2024-08-04,2024-08-09,USD,3675.16,3670.45
100189,2024-01-04,SUP-004,MAT-235,2024-01-24,2024-01-23,USD,2872.14,2925.96
100190,2024-04-09,SUP-007,MAT-225,2024-05-03,2024-05-08,USD,11892.97,13083.92
100191,2025-04-13,SUP-029,MAT-205,2025-04-26,2025-05-02,USD,18149.08,17230.37
100192,2024-12-17,SUP-028,MAT-234,2025-01-25,2025-02-03,USD,18008.64,18011.02
100193,2025-02-08,SUP-039,MAT-217,2025-02-23,2025-02-26,EUR,2103.25,2390.38
100194,2024-06-30,SUP-006,MAT-232,2024-07-19,2024-07-28,USD,9517.56,10198.84
100195,2024-12-18,SUP-026,MAT-201,2025-01-04,2025-01-12,USD,5137.43,5334.04
100196,2024-06-17,SUP-030,MAT-230,2024-07-24,2024-07-26,USD,4018.49,3547.5
100197,2024-08-10,SUP-006,MAT-235,2024-08-29,2024-09-03,EUR,19581.87,19551.62
100198,2024-04-01,SUP-002,MAT-223,2024-05-03,2024-05-01,USD,6958.98,6776.49
100199,2024-12-07,SUP-036,MAT-230,2025-01-13,2025-01-18,USD,11839.65,13704.79
100200,2024-11-26,SUP-030,MAT-238,2024-12-06,2024-12-09,USD,11127.09,11896.54
100201,2025-06-02,SUP-014,MAT-208,2025-07-07,2025-07-02,EUR,2635.91,2222.45
100202,2025-01-02,SUP-024,MAT-214,2025-01-10,2025-01-08,USD,21379.29,21126.81
100203,2024-02-22,SUP-012,MAT-232,2024-03-14,2024-03-16,USD,6422.88,6172.05
100204,2024-05-25,SUP-010,MAT-214,2024-06-18,2024-06-20,USD,23218.07,21315.27
100205,2024-02-07,SUP-004,MAT-220,2024-02-19,2024-02-21,USD,20305.98,21444.53
100206,2024-06-03,SUP-034,MAT-210,2024-07-09,2024-07-12,USD,7053.2,7300.54
100207,2024-07-05,SUP-021,MAT-217,2024-08-01,2024-08-08,USD,24367.96,25215.94
100208,2025-05-30,SUP-025,MAT-209,2025-06-10,2025-06-15,USD,9336.37,9647.17
100209,2024-02-26,SUP-014,MAT-233,2024-03-06,2024-03-11,USD,23916.43,21295.5
100210,2024-10-08,SUP-005,MAT-204,2024-11-16,2024-11-21,USD,16987.72,15742.36
100211,2025-05-17,SUP-034,MAT-201,2025-06-20,2025-06-21,USD,3640.22,4092.08
100212,2024-06-18,SUP-024,MAT-236,2024-07-28,2024-08-03,EUR,21103.76,23436.36
100213,2025-03-06,SUP-001,MAT-217,2025-03-23,2025-03-28,EUR,21659.22,22497.74
100214,2024-06-30,SUP-040,MAT-237,2024-07-29,2024-08-03,USD,16197.04,15829.97
100215,2024-03-27,SUP-012,MAT-235,2024-04-23,2024-04-23,EUR,4341.43,5171.31
100216,2024-11-15,SUP-010,MAT-226,2024-12-13,2024-12-15,USD,11544.7,12058.23
100217,2024-07-23,SUP-036,MAT-232,2024-08-02,2024-07-31,USD,3423.3,3228.56
100218,2024-01-01,SUP-021,MAT-230,2024-01-10,2024-01-20,USD,13745.38,15081.69
100219,2024-08-15,SUP-015,MAT-236,2024-09-17,2024-09-24,USD,8566.84,9874.34
100220,2024-08-05,SUP-037,MAT-215,2024-08-18,2024-08-13,USD,14465.82,15734.75
100221,2025-06-06,SUP-032,MAT-208,2025-07-16,2025-07-22,USD,17944.56,18966.95
100222,2025-04-15,SUP-033,MAT-228,2025-05-10,2025-05-18,USD,15648.33,15122.0
100223,2024-06-29,SUP-037,MAT-225,2024-07-08,2024-07-09,USD,18250.98,19481.12
100224,2025-02-09,SUP-008,MAT-235,2025-03-10,2025-03-16,USD,20331.33,21427.29
100225,2024-09-19,SUP-023,MAT-205,2024-10-26,2024-10-26,USD,24105.95,22761.35
100226,2025-05-11,SUP-032,MAT-209,2025-06-07,2025-06-09,USD,8777.37,8401.16
100227,2024-10-16,SUP-031,MAT-229,2024-11-14,2024-11-18,USD,20203.43,20154.04
100228,2024-02-16,SUP-015,MAT-212,2024-02-23,2024-03-04,EUR,7911.31,9059.35
100229,2025-03-03,SUP-026,MAT-220,2025-03-15,2025-03-13,USD,11581.47,12041.67
100230,2025-01-02,SUP-040,MAT-213,2025-01-28,2025-01-31,USD,22958.04,21538.06
100231,2025-04-19,SUP-017,MAT-213,2025-05-29,2025-05-29,USD,2003.26,1930.27
100232,2025-01-27,SUP-019,MAT-240,2025-02-14,2025-02-15,USD,23113.23,24597.71
100233,2025-01-01,SUP-002,MAT-220,2025-02-06,2025-02-04,USD,2037.28,1813.91
100234,2024-07-16,SUP-007,MAT-230,2024-07-24,2024-07-28,USD,17545.89,18170.59
100235,2024-07-17,SUP-005,MAT-202,2024-07-31,2024-08-05,USD,9329.55,8285.97
100236,2024-07-27,SUP-005,MAT-224,2024-08-27,2024-08-23,USD,13363.02,13534.9
100237,2024-05-05,SUP-026,MAT-235,2024-06-14,2024-06-14,EUR,3004.91,3589.55
100238,2025-01-21,SUP-006,MAT-225,2025-02-21,2025-02-25,USD,24404.69,28145.27
100239,2024-08-05,SUP-015,MAT-220,2024-09-13,2024-09-08,USD,23787.78,23328.24
100240,2025-06-10,SUP-021,MAT-229,2025-06-18,2025-06-10,USD,18387.76,21152.93
100241,2024-11-10,SUP-012,MAT-240,2024-12-22,2024-12-26,USD,15858.27,15668.51
100242,2024-06-13,SUP-033,MAT-223,2024-07-25,2024-07-24,USD,5808.47,5591.86
100243,2025-02-23,SUP-037,MAT-228,2025-03-29,2025-03-30,EUR,20335.63,21778.42
100244,2024-09-06,SUP-023,MAT-226,2024-10-16,2024-10-15,USD,10794.06,12710.41
100245,2025-06-08,SUP-026,MAT-201,2025-07-06,2025-07-09,USD,10150.23,11112.63
100246,2025-03-13,SUP-039,MAT-232,2025-04-09,2025-04-11,USD,6418.24,6249.32
100247,2025-04-22,SUP-034,MAT-210,2025-05-28,2025-06-03,USD,7845.62,7598.91
100248,2025-06-13,SUP-016,MAT-202,2025-07-21,2025-07-26,EUR,12180.06,11273.49
100249,2025-03-06,SUP-004,MAT-206,2025-03-31,2025-03-31,USD,19464.96,20110.76
100250,2025-05-31,SUP-002,MAT-203,2025-06-14,2025-06-12,USD,20011.53,20543.7
100251,2025-05-07,SUP-009,MAT-235,2025-05-29,2025-05-27,USD,13291.07,14681.0
100252,2024-03-23,SUP-037,MAT-207,2024-05-01,2024-05-01,USD,8747.61,9374.52
100253,2025-01-15,SUP-013,MAT-209,2025-02-25,2025-03-07,EUR,2173.07,2264.67
100254,2024-10-31,SUP-022,MAT-206,2024-11-07,2024-11-17,USD,13789.89,13938.11
100255,2025-06-01,SUP-029,MAT-236,2025-07-10,2025-07-03,USD,12331.21,9512.1
100256,2025-02-17,SUP-012,MAT-200,2025-03-04,2025-03-08,USD,3718.42,3710.66
100257,2024-10-07,SUP-033,MAT-236,2024-10-27,2024-10-28,EUR,16604.4,16757.87
100258,2024-12-14,SUP-012,MAT-206,2025-01-20,2025-01-25,USD,2242.74,2485.82
100259,2024-02-19,SUP-021,MAT-210,2024-03-27,2024-03-23,EUR,6218.83,5544.13
100260,2024-07-12,SUP-022,MAT-227,2024-08-19,2024-08-17,USD,8921.86,7938.15
100261,2025-02-03,SUP-030,MAT-211,2025-02-11,2025-02-12,EUR,8447.26,7629.22
100262,2024-08-23,SUP-028,MAT-202,2024-09-28,2024-09-22,USD,6041.41,6823.6
100263,2025-06-02,SUP-026,MAT-206,2025-06-28,2025-06-28,USD,18762.89,16281.01
100264,2024-12-25,SUP-035,MAT-204,2025-01-20,2025-01-25,USD,6910.59,6999.6
100265,2024-01-17,SUP-018,MAT-210,2024-02-07,2024-02-18,USD,19641.07,20878.97
100266,2024-03-27,SUP-022,MAT-220,2024-05-04,2024-05-06,USD,6211.49,7101.32
100267,2024-12-06,SUP-038,MAT-213,2024-12-26,2024-12-26,USD,6738.95,6446.25
100268,2025-03-11,SUP-040,MAT-230,2025-03-24,2025-03-24,USD,5435.98,5128.79
100269,2024-06-15,SUP-040,MAT-224,2024-07-14,2024-07-17,USD,16748.12,16098.02
100270,2024-08-03,SUP-002,MAT-233,2024-08-22,2024-08-26,USD,19221.67,18949.52
100271,2024-08-09,SUP-026,MAT-237,2024-08-26,2024-08-24,USD,20682.4,21980.89
100272,2024-05-15,SUP-032,MAT-219,2024-06-26,2024-07-03,USD,7783.99,8433.66
100273,2025-05-17,SUP-005,MAT-236,2025-06-03,2025-05-31,USD,20144.01,21197.11
100274,2024-09-30,SUP-039,MAT-212,2024-10-30,2024-10-30,EUR,18139.22,17595.25
100275,2024-07-01,SUP-023,MAT-240,2024-08-01,2024-08-04,USD,24983.02,22731.43
100276,2025-05-27,SUP-001,MAT-211,2025-06-19,2025-06-22,USD,24200.46,20902.51
100277,2024-12-08,SUP-028,MAT-218,2025-01-17,2025-02-05,USD,24058.59,21738.08
100278,2024-01-05,SUP-021,MAT-232,2024-01-28,2024-02-02,USD,4018.67,3983.4
100279,2024-08-19,SUP-025,MAT-224,2024-09-03,2024-09-05,USD,20853.19,18942.67
100280,2025-01-05,SUP-028,MAT-218,2025-01-18,2025-01-15,EUR,17665.66,17280.01
100281,2025-05-21,SUP-018,MAT-203,2025-06-26,2025-06-23,USD,16346.24,14110.39
